bin,counts
78,69
96,60
93,67
57,44
28,23
107,64
4,1542
100,76
117,51
5,1043
138,39
27,12
137,40
77,66
134,34
103,60
98,59
6,395
95,66
164,19
131,44
65,55
135,45
148,27
7,121
79,67
168,16
94,66
142,37
110,58
102,53
48,22
132,33
53,29
68,59
149,32
13,20
171,29
170,26
156,22
121,46
105,56
104,71
35,26
8,48
50,38
90,76
165,26
128,44
89,59
162,22
174,21
130,41
91,65
15,16
169,15
11,24
58,36
82,64
49,33
88,68
83,73
155,32
71,54
101,62
86,69
56,37
85,70
44,15
125,53
133,36
115,50
141,36
74,59
63,45
175,22
22,17
66,60
46,27
21,24
123,46
120,52
67,75
76,82
109,54
161,16
99,49
52,24
61,45
129,59
23,18
45,23
75,76
41,27
47,30
92,59
116,39
60,39
163,24
64,74
59,50
97,65
126,39
81,73
111,46
150,28
173,18
139,39
118,49
42,20
145,36
40,32
32,27
51,32
87,66
106,56
113,52
152,29
124,48
62,60
114,54
146,31
112,50
147,37
30,18
119,48
160,29
127,43
108,60
158,31
70,54
29,17
18,16
26,18
84,84
154,17
167,23
80,57
19,12
159,21
39,21
33,25
16,16
72,56
38,10
177,15
143,28
36,18
69,47
136,37
73,64
43,20
31,24
12,16
172,26
144,18
20,15
24,10
153,29
122,41
140,17
151,24
34,22
54,33
55,27
10,19
157,15
166,25
9,23
17,12
37,22
179,1
25,16
176,18
14,9
12
15,6
10,8
17,5
33,9
23,14
200,6
123,27
12,10
188,17
18,11
31,14
39,10
172,16
22,9
202,6
151,14
38,6
156,8
29,8
207,3
28,10
186,8
178,9
204,7
208,2
183,3
211,1
203,5
24,6
